AccID	log2FC	Pvalue	FDR	Style	H_3.readCount	C_3.readCount	H_3.fpkm	C_3.fpkm
1600014C10Rik	1.21845688146357	9.6568894368107e-53	1.99430176800093e-51	up	1049	408	17.8465034874587	7.66939438984203
1700001C02Rik	1.02005899596892	6.86547832268069e-06	2.36148124808928e-05	up	121	54	7.83164158075947	3.86175260695591
1700001K19Rik	-1.14391673914221	0.0208260039442409	0.0387803166971297	down	12	24	0.844194777637835	1.86550283002687
1700003E16Rik	1.06101471212802	4.11740860137702e-10	2.09170283216831e-09	up	219	95	6.62461041456795	3.17514153260895
1700010I14Rik	1.2890426681339	0.0103877323342001	0.0208979186670285	up	27	10	0.965901772337219	0.395268726188245
1700016H13Rik	-3.31384174058452	0.0048782647365241	0.0105853641690959	down	1	9	0.0383688374568881	0.381543804113862
1700018B08Rik	-3.46584483402957	0.0325699525634411	0.0576062141461466	down	0	5	0	0.342396064474873
1700019D03Rik	1.73055237877393	0.0419313725809865	0.0718678088712857	up	11	3	0.170674867957765	0.0514305774444474
1700020D05Rik	3.44104576157895	0.0263500298251758	0.0476358725551458	up	6	0	0.394811955261573	0
1700029J07Rik	1.10490380747189	5.54082492361074e-10	2.79289227730201e-09	up	202	85	4.95296881247307	2.30280097669451
1700037C18Rik	1.33252130480078	5.16743054269367e-05	0.000158331254469829	up	64	23	1.62255298142215	0.644273107885851
1700056E22Rik	2.17801135574516	0.0238892301615465	0.0438016227165073	up	10	2	0.694765608965987	0.153529403884493
1700066B19Rik	1.44104576157895	0.0227076414628983	0.0418600120979062	up	18	6	0.482950886168609	0.17787092678471
1700102P08Rik	-2.36630916047865	0.00313311701685332	0.00710429365918121	down	3	14	0.163067559191774	0.840809494250918
1810010D01Rik	1.6634381829154	6.03105068528964e-07	2.32095693575884e-06	up	70	20	5.29006569976465	1.66999925260185
1810055G02Rik	-1.19746620741894	1.47522539422922e-14	1.00970693575935e-13	down	119	247	4.24807454413088	9.74238697885422
2010005H15Rik	1.2186533402425	0.0452404330165777	0.0769449046925256	up	18	7	1.8925023770989	0.813177257350653
2010109I03Rik	1.37545741995137	0.000675036097599912	0.00174431124720909	up	43	15	1.53338900140206	0.591014862883379
2200002D01Rik	-1.08354412116272	1.03767627915734e-06	3.91428530855321e-06	down	61	117	2.79550743356594	5.92433943590985
2310034G01Rik	1.06419145618799	9.56238991321769e-07	3.62116350529799e-06	up	134	58	6.55690736187871	3.13577936863281
2410004P03Rik	1.33090198846205	5.63811643035122e-32	7.43924793231559e-31	up	542	195	10.5945994290835	4.21156125159724
2610318N02Rik	1.90670933392776	0.000416013422122756	0.0011123774871843	up	29	7	1.4987163055564	0.399707898036205
2810459M11Rik	-2.25939395656214	0.00562113462353787	0.0120126903403802	down	3	13	0.0605078064127989	0.289705514294801
3300002I08Rik	1.78208267941402	0.0063604426738376	0.0134427973223595	up	19	5	1.96383515900494	0.571011282908865
3425401B19Rik	2.2890426681339	0.000129902602940948	0.000377081761434191	up	27	5	0.327017041364575	0.0669113636002816
4430402I18Rik	1.28289792791299	3.12559817700717e-10	1.60623890433228e-09	up	164	61	2.20495273953768	0.90616759525061
4930444P10Rik	4.14148547972004	1.57829586333979e-09	7.65966711177092e-09	up	39	2	1.27007733450966	0.0719645824315583
4930452B06Rik	-1.48271865259397	0.000156132534900642	0.000446627052312943	down	17	43	0.426007155755012	1.19058301807555
4930539E08Rik	3.31551487949509	0.00306361993305166	0.00695737626091866	up	11	1	0.160761839951516	0.0161478065647493
4930562C15Rik	1.67165868972037	3.72415846019342e-36	5.46139574001925e-35	up	440	125	7.0821483302072	2.22303146796096
4930590J08Rik	3.6634381829154	0.0139923591722082	0.0273335016282257	up	7	0	0.138523369870126	0
4931414P19Rik	1.1245720967837	2.37508973995285e-08	1.0490655193819e-07	up	159	66	4.00083508147369	1.83493513384197
4933405L10Rik	-3.46584483402957	0.0325699525634411	0.0576062141461466	down	0	5	0	0.305730917537695
4933415A04Rik	-1.8443564572833	0.0151408238692689	0.029311517662646	down	4	13	0.13376572302043	0.480342990600289
